Dataset,Model,Percent,Trial,Accuracy,Time
0,2,90,4,74.07407407407408,33.939199999999836
0,0,100,0,80.0,5.726099999999956
0,0,100,1,84.66666666666667,4.8906999999998035
0,0,100,2,81.33333333333333,4.573800000000183
0,0,100,3,80.0,4.155700000000095
0,0,100,4,82.66666666666667,4.138100000000033
0,1,100,0,88.0,4.611399999999932
0,1,100,1,88.0,3.852100000000025
0,1,100,2,88.0,3.633999999999915
0,1,100,3,88.0,3.6296000000000106
0,1,100,4,88.0,3.9763000000001547
0,2,100,0,79.33333333333333,34.56020000000004
0,2,100,1,74.0,32.4321000000003
0,2,100,2,76.0,33.46820000000017
0,2,100,3,79.33333333333333,35.75649999999975
0,2,100,4,78.0,37.98430000000019
1,0,10,0,60.0,11.11519999999988
1,0,10,1,64.0,8.60340000000015
1,0,10,2,58.00000000000001,8.301700000000078
1,0,10,3,56.00000000000001,8.633600000000019
1,0,10,4,53.0,8.299099999999893
1,1,10,0,67.0,5.819000000000241
1,1,10,1,67.0,5.742899999999995
1,1,10,2,67.0,5.493799999999993
1,1,10,3,67.0,5.277599999999882
1,1,10,4,67.0,5.597000000000296
1,2,10,0,43.99999999999999,49.62890000000009
1,2,10,1,47.0,49.827500000000136
1,2,10,2,37.0,53.90439999999997
1,2,10,3,36.0,49.836400000000225
1,2,10,4,47.0,48.81730000000006
1,0,20,0,69.0,16.39700000000044
1,0,20,1,68.5,14.17540000000006
1,0,20,2,64.0,15.399699999999683
1,0,20,3,71.0,16.89000000000007
1,0,20,4,62.0,15.464399999999934
1,1,20,0,69.0,12.211399999999983
1,1,20,1,69.0,11.53850000000034
1,1,20,2,69.0,10.959999999999859
1,1,20,3,69.0,11.535799999999874
1,1,20,4,69.0,11.766500000000235
1,2,20,0,52.5,103.47639999999991
1,2,20,1,52.5,97.74629999999985
1,2,20,2,58.5,98.29060000000034
1,2,20,3,58.00000000000001,96.97069999999997
1,2,20,4,57.49999999999999,98.79839999999973
1,0,30,0,71.33333333333334,26.605099999999382
1,0,30,1,69.0,24.38430000000036
1,0,30,2,67.0,24.581599999999426
1,0,30,3,59.33333333333333,25.445999999999636
1,0,30,4,68.0,26.67149999999996
1,1,30,0,68.66666666666667,17.816299999999785
1,1,30,1,68.66666666666667,17.13830000000005
1,1,30,2,68.66666666666667,17.97700000000013
1,1,30,3,68.66666666666667,18.214399999999742
1,1,30,4,68.66666666666667,17.105700000000112
1,2,30,0,62.66666666666667,149.4211999999999
1,2,30,1,63.66666666666667,148.58819999999983
1,2,30,2,60.66666666666667,147.47630000000012
1,2,30,3,65.0,146.5893000000005
1,2,30,4,62.33333333333333,147.75630000000018
1,0,40,0,67.25,31.991899999999518
1,0,40,1,69.75,32.88669999999971
1,0,40,2,68.5,31.915400000000815
1,0,40,3,76.0,32.01680000000007
1,0,40,4,68.5,30.902800000000674
1,1,40,0,71.0,25.872099999999953
1,1,40,1,71.0,22.77859999999965
1,1,40,2,71.0,22.591099999999642
1,1,40,3,71.0,23.63250000000061
1,1,40,4,71.0,21.770800000000534
1,2,40,0,69.25,198.6789
1,2,40,1,64.75,195.3087999999994
1,2,40,2,62.74999999999999,195.65049999999928
1,2,40,3,67.75,194.58489999999972
1,2,40,4,68.25,194.15610000000072
1,0,50,0,68.8,35.2522000000004
1,0,50,1,65.2,35.872499999999974
1,0,50,2,69.0,34.75930000000016
